codigo;febraban;nome;website
;false;Facta Financeira S.A. - Crédito Financiamento e Investimento;
;false;Finamax S.A. - Crédito, Financiamento e Investimento;www.finamax.com.br
64;true;Goldman Sachs do Brasil Banco Múltiplo S.A.;www.goldmansachs.com
78;false;Haitong Banco de Investimento do Brasil S.A.;www.haitongib.com.br
62;true;Hipercard Banco Múltiplo S.A.;www.hipercard.com.br
;false;HS Financeira S/A Crédito, Financiamento e Investimentos;www.hsfinanceira.com.br
269;true;HSBC Brasil S.A. - Banco de Investimento;
132;false;ICBC do Brasil Banco Múltiplo S.A.;www.icbcbr.com.br
492;true;ING Bank N.V.;www.ing.com
139;false;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo;www.intesasanpaolobrasil.com.br
652;true;Itaú Unibanco Holding S.A.;www.itau.com.br
341;true;Itaú Unibanco S.A.;www.itau.com.br
;false;J. Malucelli Distribuidora de Títulos e Valores Mobiliários LTDA.;www.paranaasset.com
488;true;JPMorgan Chase Bank, National Association;www.jpmorganchase.com
399;true;Kirton Bank S.A. - Banco Múltiplo;
;false;Lecca Crédito, Financiamento e Investimento S/A;www.lecca.com.br
128;true;MS Bank S.A. Banco de Câmbio;www.msbank.com.br
753;false;Novo Banco Continental S.A. - Banco Múltiplo;www.nbcbank.com.br
613;false;Omni Banco S.A.;www.bancopecunia.com.br
;false;Omni SA Crédito Financiamento Investimento;www.omni.com.br
254;true;Paraná Banco S.A.;www.paranabanco.com.br
;false;Parati - Crédito Financiamento e Investimento S.A.;
;false;Pernambucanas Financiadora S.A. - Crédito, Financiamento e Investimento;
;false;Pine Investimentos Distribuidoras de Títulos e Valores Mobiliários LTDA;www.bancopine.com.br
125;true;Plural S.A. - Banco Múltiplo;www.brasilplural.com
;false;Portocred S.A. - Crédito, Financiamento e Investimento;
;false;PortoSeg S.A. - Crédito, Financiamento e Investimento;www.portofinanciamento.com.br
;false;Redecard S.A.;www.userede.com.br
;false;Santana S.A. - Crédito, Financiamento e Investimento;www.santana-shopcred.com.br
;false;Santinvest S.A - Crédito, Financiamento e Investimentos;www.santinvest.com.br
;false;Sax S.A. - Crédito, Financiamento e Investimento;
;true;Scania Banco S.A.;www.scaniabanco.com.br
751;true;Scotiabank Brasil S.A. Banco Múltiplo;www.br.scotiabank.com
;false;Sorocred Crédito, Financiamento e Investimento S.A.;
118;false;Standard Chartered Bank (Brasil) S/A?Bco Invest.;www.standardchartered.com
14;false;State Street Brasil S.A. - Banco Comercial;www.br.natixis.com
95;true;Travelex Banco de Câmbio S.A.;www.bancoconfidence.com.br
129;true;UBS Brasil Banco de Investimento S.A.;www.ubs.com
091-4;false;Unicred Central do Rio Grande do Sul;www.unicred-rs.com.br
;false;UNIPRIME Central - Central Interestadual de Cooperativas de Crédito Ltda.;www.uniprimecentral.com.br
84;false;Uniprime Norte do Paraná - Coop de Economia e Crédito Mútuo dos Médicos, Profissionais das Ciências;www.uniprimebr.com
;false;Volvo Administradora de Consórcio LTDA.;www.volvo.com.br
